City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,rio grande,-32.035,-52.0986,27.06,72,37,5.47,BR,1706472416
83,novyy turtkul',41.55,61.0167,-2.05,92,100,2.75,UZ,1706472417
84,troitsko-pechorsk,62.7084,56.1964,-12.95,98,100,3.13,RU,1706472417
85,waitangi,-43.9535,-176.5597,17.68,98,100,4.92,NZ,1706472417
86,ebon,4.582,168.6964,27.3,70,100,5.88,MH,1706472417
87,bandon,51.7469,-8.7425,7.77,89,100,7.02,IE,1706472418
88,taulaga,-11.0553,-171.0883,29.49,70,58,3.75,AS,1706472418
89,sitka,57.0531,-135.33,8.94,71,100,9.26,US,1706472418
90,constantia,44.1833,28.65,2.61,82,100,8.5,RO,1706472245
91,sinabang,2.4803,96.3801,26.36,83,91,1.11,ID,1706472419
92,robore,-18.3333,-59.75,35.71,29,83,4.23,BO,1706472419
93,tapes,-30.6733,-51.3958,25.58,64,85,3.18,BR,1706472419
94,touros,-5.1989,-35.4608,28.43,71,100,6.31,BR,1706472419
95,shirpur,21.35,74.8833,22.29,30,93,1.6,IN,1706472420
96,zhalantun,48.0,122.7167,-25.88,87,21,3.28,CN,1706472420
97,san antonio de pale,-1.4014,5.6325,28.15,77,74,3.58,GQ,1706472420
98,brumunddal,60.881,10.9395,-2.24,96,100,0.85,NO,1706472420
99,ballycastle,55.2044,-6.243,8.63,75,100,8.04,GB,1706472421
100,antsirabe,-19.85,47.0333,15.29,97,41,1.55,MG,1706472421
101,puerto baquerizo moreno,-0.9,-89.6,28.55,84,75,5.14,EC,1706472421
102,cerritos,33.8583,-118.0648,28.25,41,75,4.12,US,1706472421
103,asha,54.9973,57.2722,-17.68,100,100,0.89,RU,1706472422
104,lebu,-37.6167,-73.65,16.98,71,1,7.09,CL,1706472163
105,tamanrasset,22.785,5.5228,14.38,12,10,4.58,DZ,1706472422
106,el granada,37.5027,-122.4694,20.94,63,0,2.06,US,1706472423
107,bealanana,-14.55,48.7333,18.04,97,10,0.81,MG,1706472423
108,hammerfest,70.6634,23.6821,2.25,69,40,7.2,NO,1706472423
109,bilibino,68.0546,166.4372,-29.78,100,100,0.32,RU,1706472424
110,huntsville,34.7304,-86.5861,7.95,84,100,8.23,US,1706472282
111,puerto ayora,-0.7393,-90.3518,31.98,70,100,4.18,EC,1706472424
